坯布编号,坯布名称,规格,成分,门幅(cm),克重(g/m²),单价(元/米),库存(米),供应商,备注
GC-001,60S天丝坯布,60S/400T,100%莱赛尔,250,110,18.5,12000,南通某纺织厂,常规备货
GC-002,40S全棉坯布,40S*40S/133*72,100%棉,250,105,9.2,25000,南通某棉纺厂,主力坯布
GC-003,40S竹纤维坯布,40S*40S/108*76,100%竹纤维,250,100,13.5,5000,浙江某竹纤维厂,货源稳定
GC-004,60S全棉坯布,60S*60S/200*98,100%棉,250,125,15.0,8000,南通某棉纺厂,高支高密
GC-005,21S棉麻坯布,21S*21S/60*58,棉55%/亚麻45%,260,180,14.5,3500,南通某麻纺厂,透气凉爽
GC-006,40S人棉坯布,40S*40S/100*80,100%人棉,250,110,8.8,6000,南通某人棉厂,性价比高
GC-007,60S粘胶坯布,60S*60S/140*80,100%粘胶,250,105,12.0,4000,浙江某粘胶厂,丝滑垂感
GC-008,32S全棉坯布,32S*32S/68*68,100%棉,260,140,7.5,18000,南通某棉纺厂,厚实耐用
GC-009,50S天丝坯布,50S/380T,100%莱赛尔,250,105,16.0,3000,南通某纺织厂,轻薄飘逸
GC-010,40S棉天丝坯布,40S*60S/130*80,棉40%/天丝60%,250,110,14.0,4500,南通某纺织厂,交织混纺
