产品编号,产品名称,规格,成分,门幅(cm),克重(g/m²),工艺,单价(元/米),起订量(米),库存(米),交期(天),状态
FC-001,60S天丝印花布,60S/400T,100%莱赛尔,250,120,数码印花,28.5,300,5800,7,正常
FC-002,60S天丝染色布,60S/400T,100%莱赛尔,250,120,溢流染色,25.0,300,3200,5,正常
FC-003,60S全棉印花布,60S*60S/200*98,100%棉,250,130,活性印花,22.8,500,12000,7,正常
FC-004,60S全棉染色布,60S*60S/200*98,100%棉,250,130,溢流染色,19.5,500,8500,5,正常
FC-005,40S全棉印花布,40S*40S/133*72,100%棉,250,110,活性印花,14.2,800,18000,7,正常
FC-006,40S全棉染色布,40S*40S/133*72,100%棉,250,110,溢流染色,12.0,800,9500,5,正常
FC-007,40S竹纤维印花布,40S*40S/108*76,100%竹纤维,250,105,数码印花,19.8,400,2800,7,正常
FC-008,40S竹纤维染色布,40S*40S/108*76,100%竹纤维,250,105,溢流染色,17.5,400,1500,5,正常
FC-009,棉麻交织布,40S*14S/98*52,棉55%麻45%,260,180,坯布/染色,21.0,600,4200,8,正常
FC-010,棉天丝交织布,40S*60S/140*80,棉40%天丝60%,250,115,数码印花,24.5,400,3600,7,正常
FC-011,天丝绢丝交织布,60S*120D/200*100,天丝70%绢丝30%,240,95,数码印花,38.0,200,1200,10,新品
FC-012,60S缎纹染色布,60S/800T缎纹,100%棉,250,140,缎纹染色,32.0,300,2100,6,正常
FC-013,全棉小提花布,40S*40S+20D/128*60,100%棉,250,150,小提花印花,18.5,500,6300,8,正常
FC-014,全棉大提花布,40S*40S+20D/130*70,100%棉,255,200,大提花印花,26.0,400,1800,10,正常
FC-015,天丝大提花布,60S+30D/180*80,100%莱赛尔,250,130,大提花印花,35.0,300,950,12,正常
FC-016,抗菌全棉印花布,40S*40S/133*72,100%棉(抗菌),250,115,抗菌印花,17.8,600,0,10,预售
FC-017,抗菌天丝印花布,60S/400T,100%莱赛尔(抗菌),250,125,抗菌印花,32.0,300,0,10,预售
FC-018,60S长绒棉染色布,60S*60S/200*100,100%长绒棉,250,135,溢流染色,28.0,300,2800,6,正常
FC-019,天丝麻交织染色,60S*21S/140*60,天丝60%亚麻40%,250,140,交织染色,33.0,300,1600,8,正常
FC-020,全棉磨毛印花布,40S*40S/133*72,100%棉,250,130,磨毛印花,15.5,500,7200,7,正常
