# 常用话术库 - 来财AI客服
# 用于AI理解客户的咨询意图

## 查价格相关
客户可能说：
- "60s天丝多少钱"
- "天丝印花价格查一下"
- "你们全棉的有多少"
- "40支棉的价格"
- "这个布单价多少"
- "能便宜点吗"
- "量大有优惠吗"

## 查库存相关
客户可能说：
- "60s天丝有货吗"
- "现在库存多少"
- "40s全棉还有多少米"
- "这个有现货吗"
- "能不能今天发货"
- "最快什么时候能拿到"

## 下单相关
客户可能说：
- "帮我下一单"
- "订300米60s天丝"
- "这个来500米"
- "先订一批试试"
- "合同什么时候能签"

## 查订单相关
客户可能说：
- "我的订单做好了吗"
- "货什么时候出"
- "订单进度怎么样了"
- "发货了吗"
- "物流单号给我"

## 报价相关
客户可能说：
- "给个报价单"
- "含税价格多少"
- "送到广州多少钱"
- "运费算谁的"
- "能开票吗"

## 样品相关
客户可能说：
- "能寄个样吗"
- "有没有小样"
- "先看看样品"
- "打样要多久"
- "样品收费吗"
